index	name	color
9001	wm-9001	#714b78
9002	wm-9002	#8bb22c
9003	wm-9003	#3a9824
9004	wm-9004	#39daff
9005	wm-9005	#81fa6a
9006	wm-9006	#f1893e
9007	wm-9007	#2c3b06
9008	wm-9008	#19b32d
9009	wm-9009	#a6ed16
9010	wm-9010	#19739a
9011	wm-9011	#ad5306
9012	wm-9012	#e34ac1
9013	wm-9013	#d2ddb1
9014	wm-9014	#78268e
9015	wm-9015	#81b496
9016	wm-9016	#f63c95
9017	wm-9017	#e2c5fa
9018	wm-9018	#ee238a
9019	wm-9019	#4f7339
9020	wm-9020	#0a9868
9021	wm-9021	#7865ba
9022	wm-9022	#b985d6
9023	wm-9023	#b24e51
9024	wm-9024	#a65b03
9025	wm-9025	#608d5c
9026	wm-9026	#5c09da
9027	wm-9027	#618c37
9028	wm-9028	#e3183d
9029	wm-9029	#3b693d
9030	wm-9030	#2cc4b9
9031	wm-9031	#712a1f
9032	wm-9032	#d284ec
9033	wm-9033	#e5366a
9034	wm-9034	#345501
9035	wm-9035	#da215e
9036	wm-9036	#48ec14
9037	wm-9037	#5dadb8
9038	wm-9038	#282ea9
9039	wm-9039	#1398de
9040	wm-9040	#13e2ed
9041	wm-9041	#e0da5f
9042	wm-9042	#20adf2
9043	wm-9043	#4853ec
9044	wm-9044	#7cb860
9045	wm-9045	#631e05
9046	wm-9046	#4b405e
9047	wm-9047	#db92de
9048	wm-9048	#65e964
9049	wm-9049	#4a7c73
9050	wm-9050	#bc449a
9051	wm-9051	#4f43d2
9052	wm-9052	#d396f4
9053	wm-9053	#945e99
9054	wm-9054	#558df9
9055	wm-9055	#5fed6f
9056	wm-9056	#5eb70f
9057	wm-9057	#6d6162
9058	wm-9058	#4f484d
9059	wm-9059	#416e52
9060	wm-9060	#7c262f
9061	wm-9061	#988a8b
9062	wm-9062	#ee4549
9063	wm-9063	#9aa923
