index	name	color
4005	brain	A0A0A0
4006	gray matter	787878
4007	telencephalon	D988A3
4008	cerebral cortex	EDA65F
4009	frontal lobe	E8CD59
4053	anterior orbital gyrus	E8BF59
4054	anterior orbital gyrus, left	E8BF59
4055	anterior orbital gyrus, right	E8BF59
4078	frontal operculum	E8C159
4079	frontal operculum, left	E8C159
4080	frontal operculum, right	E8C159
4888	frontal pole	E8C359
4889	frontal pole, left	E8C359
4890	frontal pole, left, superior aspect	E8C359
4891	frontal pole, left, inferior aspect	E8C359
4892	frontal pole, left, medial aspect	E8C359
4893	frontal pole, right	E8C359
4894	frontal pole, right, superior aspect	E8C359
4895	frontal pole, right, inferior aspect	E8C359
4896	frontal pole, right, medial aspect	E8C359
4047	gyrus rectus	E8C459
4048	gyrus rectus, left	E8C459
4049	gyrus rectus, right	E8C459
4035	inferior frontal gyrus	E8C659
4036	inferior frontal gyrus, left	E8C659
4037	inferior frontal gyrus, right	E8C659
4041	inferior frontal gyrus, opercular part	E8C659
4042	inferior frontal gyrus, opercular part, left	E8C659
4043	inferior frontal gyrus, opercular part, right	E8C659
4044	inferior frontal gyrus, orbital part	E8C659
4045	inferior frontal gyrus, orbital part, left	E8C659
4046	inferior frontal gyrus, orbital part, right	E8C659
4038	inferior frontal gyrus, triangular part	E8C659
4039	inferior frontal gyrus, triangular part, left	E8C659
4040	inferior frontal gyrus, triangular part, right	E8C659
4900	inferior rostral gyrus	E8C859
4901	inferior rostral gyrus, left	E8C859
4902	inferior rostral gyrus, right	E8C859
4059	lateral orbital gyrus	E8CA59
4060	lateral orbital gyrus, left	E8CA59
4061	lateral orbital gyrus, right	E8CA59
4050	medial orbital gyrus	E8CB59
4051	medial orbital gyrus, left	E8CB59
4052	medial orbital gyrus, right	E8CB59
4028	middle frontal gyrus	E8CD59
4029	middle frontal gyrus, left	E8CD59
4030	middle frontal gyrus, left, superior bank of gyrus	E8CD59
4031	middle frontal gyrus, left, inferior bank of gyrus	E8CD59
4032	middle frontal gyrus, right	E8CD59
4033	middle frontal gyrus, right, superior bank of gyrus	E8CD59
4034	middle frontal gyrus, right, inferior bank of gyrus	E8CD59
265504406	olfactory area	E8CE59
265504410	olfactory area, left	E8CE59
265504414	olfactory area, right	E8CE59
4071	paracentral lobule, anterior part	E8CF59
4072	paracentral lobule, anterior part, left	E8CF59
4073	paracentral lobule, anterior part, left, superior bank of gyrus	E8CF59
4074	paracentral lobule, anterior part, left, inferior bank of gyrus	E8CF59
4075	paracentral lobule, anterior part, right	E8CF59
4076	paracentral lobule, anterior part, right, superior bank of gyrus	E8CF59
4077	paracentral lobule, anterior part, right, inferior bank of gyrus	E8CF59
4065	paraterminal gyrus	E8D059
4066	paraterminal gyrus, left	E8D059
4067	paraterminal gyrus, right	E8D059
4068	parolfactory gyri	E8D259
4069	parolfactory gyri, left	E8D259
4070	parolfactory gyri, right	E8D259
4056	posterior orbital gyrus	E8D459
4057	posterior orbital gyrus, left	E8D459
4058	posterior orbital gyrus, right	E8D459
4010	precentral gyrus	E8D659
4011	precentral gyrus, left	E8D659
4012	precentral gyrus, left, bank of the precentral sulcus	E8D659
4013	precentral gyrus, left, superior lateral aspect of gyrus	E8D659
4014	precentral gyrus, left, inferior lateral aspect of gyrus	E8D659
4015	precentral gyrus, left, bank of the central sulcus	E8D659
4016	precentral gyrus, right	E8D659
4017	precentral gyrus, right, bank of the precentral sulcus	E8D659
4018	precentral gyrus, right, superior lateral aspect of gyrus	E8D659
4019	precentral gyrus, right, inferior lateral aspect of gyrus	E8D659
4020	precentral gyrus, right, bank of the central sulcus	E8D659
4021	superior frontal gyrus	E8D959
4022	superior frontal gyrus, left	E8D959
4023	superior frontal gyrus, left, medial bank of gyrus	E8D959
4024	superior frontal gyrus, left, lateral bank of gyrus	E8D959
4025	superior frontal gyrus, right	E8D959
4026	superior frontal gyrus, right, medial bank of gyrus	E8D959
4027	superior frontal gyrus, right, lateral bank of gyrus	E8D959
4897	superior rostral gyrus	E8DB59
4898	superior rostral gyrus, left	E8DB59
4899	superior rostral gyrus, right	E8DB59
4268	insula	FEFF61
4269	long insular gyri	FFF161
4270	long insular gyri, left	FFF161
4271	long insular gyri, right	FFF161
4272	short insular gyri	EFFF61
4273	short insular gyri, left	EFFF61
4274	short insular gyri, right	EFFF61
4219	limbic lobe	BF934C
4220	cingulate gyrus	7F6233
4221	cingulate gyrus, frontal part	7F5B33
4222	cingulate gyrus, frontal part, left	7F5B33
4223	cingulate gyrus, frontal part, left, superior bank of gyrus	7F5B33
4224	cingulate gyrus, frontal part, left, inferior bank of gyrus	7F5B33
4225	cingulate gyrus, frontal part, right	7F5B33
4226	cingulate gyrus, frontal part, right, superior bank of gyrus	7F5B33
4227	cingulate gyrus, frontal part, right, inferior bank of gyrus	7F5B33
4228	cingulate gyrus, parietal part	7F6233
4229	cingulate gyrus, parietal part, left	7F6233
4230	cingulate gyrus, parietal part, left, superior bank of gyrus	7F6233
4231	cingulate gyrus, parietal part, left, inferior bank of gyrus	7F6233
4232	cingulate gyrus, parietal part, right	7F6233
4233	cingulate gyrus, parietal part, right, superior bank of gyrus	7F6233
4234	cingulate gyrus, parietal part, right, inferior bank of gyrus	7F6233
4235	cingulate gyrus, retrosplenial part	7F6933
4236	cingulate gyrus, retrosplenial part, left	7F6933
4237	cingulate gyrus, retrosplenial part, left, superior bank of gyrus	7F6933
4238	cingulate gyrus, retrosplenial part, left, inferior bank of gyrus	7F6933
4239	cingulate gyrus, retrosplenial part, right	7F6933
4240	cingulate gyrus, retrosplenial part, right, superior bank of gyrus	7F6933
4241	cingulate gyrus, retrosplenial part, right, inferior bank of gyrus	7F6933
4062	subcallosal cingulate gyrus	7F5F33
