id,graph_order,acronym,name,color_hex_triplet,parent_structure_id,structure_id_path,annotated,voxel_count,subgraph_annotated,subgraph_voxel_count,volume_mm3,volume_cm3
10153,0,NP,neural plate,D7D8D8,,/10153/,False,,True,6999201,874900.125,874.900125
10154,1,NT,neural tube,D0D0D1,10153.0,/10153/10154/,False,,True,6999201,874900.125,874.900125
10155,2,Br,brain,E0E0E0,10154.0,/10153/10154/10155/,False,,True,6999201,874900.125,874.900125
10156,3,F,forebrain (prosencephalon),EBD6D0,10155.0,/10153/10154/10155/10156/,False,,True,6145007,768125.875,768.1258750000001
10157,4,FGM,gray matter of forebrain,EBD6D0,10156.0,/10153/10154/10155/10156/10157/,False,,True,262857,32857.125,32.857125
10506,5,FTS,transient structures of forebrain,E3D6D7,10157.0,/10153/10154/10155/10156/10157/10506/,False,,False,,,
11580,6,SG,subpial granular zone,81696B,10506.0,/10153/10154/10155/10156/10157/10506/11580/,False,,False,,,
11581,7,fSG,SG in frontal neocortex,8D762D,11580.0,/10153/10154/10155/10156/10157/10506/11580/11581/,False,,False,,,
11587,8,fSGfp,SG in frontal polar cortex,806D2C,11581.0,/10153/10154/10155/10156/10157/10506/11580/11581/11587/,False,,False,,,
11582,9,fSGdm,SG in dorsomedial frontal cortex,806D2C,11581.0,/10153/10154/10155/10156/10157/10506/11580/11581/11582/,False,,False,,,
11585,10,fSGdl,SG in dorsolateral prefrontal cortex,806D2C,11581.0,/10153/10154/10155/10156/10157/10506/11580/11581/11585/,False,,False,,,
11586,11,fSGvl,SG in ventrolateral prefrontal cortex,806D2C,11581.0,/10153/10154/10155/10156/10157/10506/11580/11581/11586/,False,,False,,,
11583,12,fSGor,SG in orbital frontal cortex,8E712C,11581.0,/10153/10154/10155/10156/10157/10506/11580/11581/11583/,False,,False,,,
11584,13,fSGm1,SG in posterior frontal cortex (motor cortex),7B7248,11581.0,/10153/10154/10155/10156/10157/10506/11580/11581/11584/,False,,False,,,
11593,14,pSG,SG in parietal neocortex,AE7B2C,11580.0,/10153/10154/10155/10156/10157/10506/11580/11593/,False,,False,,,
11594,15,pSGs1,SG in primary somatosensory cortex,B45D27,11593.0,/10153/10154/10155/10156/10157/10506/11580/11593/11594/,False,,False,,,
11597,16,pSGdm,SG in dorsomedial parietal cortex (area 7m),AE7B2C,11593.0,/10153/10154/10155/10156/10157/10506/11580/11593/11597/,False,,False,,,
11595,17,pSGpd,SG in posterosuperior (dorsal) parietal cortex,AE7B2C,11593.0,/10153/10154/10155/10156/10157/10506/11580/11593/11595/,False,,False,,,
11596,18,pSGpv,SG in posteroinferior (ventral) parietal cortex,AE7B2C,11593.0,/10153/10154/10155/10156/10157/10506/11580/11593/11596/,False,,False,,,
11598,19,tSG,SG in temporal neocortex,A74677,11580.0,/10153/10154/10155/10156/10157/10506/11580/11598/,False,,False,,,
15498,20,tSGdl,SG in dorsolateral temporal cortex,A74677,11598.0,/10153/10154/10155/10156/10157/10506/11580/11598/15498/,False,,False,,,
11599,21,tSGa1,SG in primary auditory cortex,A74677,15498.0,/10153/10154/10155/10156/10157/10506/11580/11598/15498/11599/,False,,False,,,
11600,22,tSGsl,SG in superolateral temporal cortex,A74677,15498.0,/10153/10154/10155/10156/10157/10506/11580/11598/15498/11600/,False,,False,,,
