index	name	color
1	ctx-rh-lateralorbitofrontal_1	#4116ca
2	ctx-rh-lateralorbitofrontal_2	#04e335
3	ctx-rh-lateralorbitofrontal_3	#a15ea3
4	ctx-rh-lateralorbitofrontal_4	#5e0574
8	ctx-rh-parsorbitalis_1	#1d8529
10	ctx-rh-frontalpole_1	#dba753
11	ctx-rh-medialorbitofrontal_1	#382582
12	ctx-rh-medialorbitofrontal_2	#257a47
13	ctx-rh-medialorbitofrontal_3	#712c25
16	ctx-rh-parstriangularis_1	#00957c
17	ctx-rh-parstriangularis_2	#e3d5a4
18	ctx-rh-parstriangularis_3	#148e70
20	ctx-rh-parsopercularis_1	#0429fa
21	ctx-rh-parsopercularis_2	#c713d2
22	ctx-rh-parsopercularis_3	#b4bfce
24	ctx-rh-rostralmiddlefrontal_1	#134833
25	ctx-rh-rostralmiddlefrontal_2	#0ae648
26	ctx-rh-rostralmiddlefrontal_3	#810f60
27	ctx-rh-rostralmiddlefrontal_4	#beb2fa
28	ctx-rh-rostralmiddlefrontal_5	#7de463
29	ctx-rh-rostralmiddlefrontal_6	#9f6660
30	ctx-rh-rostralmiddlefrontal_7	#806c0b
31	ctx-rh-rostralmiddlefrontal_8	#b158fa
32	ctx-rh-rostralmiddlefrontal_9	#9de857
33	ctx-rh-rostralmiddlefrontal_10	#8bbd40
37	ctx-rh-superiorfrontal_1	#622aba
38	ctx-rh-superiorfrontal_2	#28b9c0
39	ctx-rh-superiorfrontal_3	#fa214d
40	ctx-rh-superiorfrontal_4	#6dab65
41	ctx-rh-superiorfrontal_5	#33d169
42	ctx-rh-superiorfrontal_6	#e8f487
43	ctx-rh-superiorfrontal_7	#775134
44	ctx-rh-superiorfrontal_8	#758222
45	ctx-rh-superiorfrontal_9	#ab2ba3
46	ctx-rh-superiorfrontal_10	#eff13c
47	ctx-rh-superiorfrontal_11	#f2b2b6
48	ctx-rh-superiorfrontal_12	#169cf1
49	ctx-rh-superiorfrontal_13	#b4d97c
54	ctx-rh-caudalmiddlefrontal_1	#a21254
55	ctx-rh-caudalmiddlefrontal_2	#ee6db1
56	ctx-rh-caudalmiddlefrontal_3	#b3cf6e
57	ctx-rh-caudalmiddlefrontal_4	#b9358a
59	ctx-rh-precentral_1	#3b78b2
60	ctx-rh-precentral_2	#0d9450
61	ctx-rh-precentral_3	#44e6d1
62	ctx-rh-precentral_4	#78a6b1
63	ctx-rh-precentral_5	#456f5c
64	ctx-rh-precentral_6	#6f3c9e
65	ctx-rh-precentral_7	#131b49
66	ctx-rh-precentral_8	#065b0b
67	ctx-rh-precentral_9	#5afc6c
75	ctx-rh-paracentral_1	#77a892
76	ctx-rh-paracentral_2	#5394d2
77	ctx-rh-paracentral_3	#0b6867
81	ctx-rh-rostralanteriorcingulate_1	#0e0a4a
83	ctx-rh-caudalanteriorcingulate_1	#aafce3
86	ctx-rh-posteriorcingulate_1	#5b98a9
87	ctx-rh-posteriorcingulate_2	#6a7776
90	ctx-rh-isthmuscingulate_1	#f4a191
91	ctx-rh-isthmuscingulate_2	#c90c41
92	ctx-rh-postcentral_1	#0094e1
