indices,cluster_id
1,4
2,4
3,4
4,4
8,4
10,3
11,4
12,4
13,4
16,2
17,2
18,2
20,2
21,2
22,2
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
54,2
55,2
56,2
57,2
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
75,1
76,1
77,1
81,0
83,6
86,6
87,6
90,6
91,6
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
104,3
105,3
106,3
107,3
108,3
109,3
110,3
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
138,2
139,2
140,2
141,2
142,2
143,2
144,2
148,4
149,4
150,4
152,5
153,5
154,5
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
166,4
167,4
168,4
169,4
170,4
171,4
173,2
174,2
175,2
176,2
177,2
181,6
182,6
184,6
185,2
186,2
187,2
188,2
189,2
190,2
193,2
194,2
195,2
196,2
197,2
198,2
202,3
203,3
205,3
206,3
207,3
208,3
209,3
210,3
216,5
217,7
218,7
219,7
220,7
254,4
255,4
256,4
257,4
261,4
263,3
264,4
265,4
266,4
269,2
270,2
273,2
274,2
275,2
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
307,2
308,2
309,2
310,2
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
328,1
329,1
330,1
334,0
336,6
339,6
340,6
343,6
344,6
345,5
346,5
347,5
348,5
349,5
350,5
351,5
352,5
357,3
358,3
359,3
360,3
361,3
362,3
363,3
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
391,2
392,2
393,2
394,2
395,2
396,2
397,2
401,4
402,4
405,5
406,5
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
419,4
420,4
421,4
422,4
423,4
424,4
426,2
427,2
428,2
429,2
430,2
434,6
435,6
437,6
438,2
439,2
440,2
441,2
442,2
443,2
444,2
446,2
447,2
448,2
449,2
450,2
455,3
456,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
469,5
470,7
471,7
472,7
473,7
