index	name	color
1	ctx-rh-lateralorbitofrontal_1	#0fb78b
2	ctx-rh-lateralorbitofrontal_2	#3a39dc
3	ctx-rh-lateralorbitofrontal_3	#e46a48
4	ctx-rh-lateralorbitofrontal_4	#c21f47
5	ctx-rh-parsorbitalis_1	#f0ba4b
6	ctx-rh-frontalpole_1	#700051
7	ctx-rh-medialorbitofrontal_1	#619953
8	ctx-rh-medialorbitofrontal_2	#e39147
9	ctx-rh-medialorbitofrontal_3	#1227a9
10	ctx-rh-parstriangularis_1	#55b8bd
11	ctx-rh-parstriangularis_2	#2002f6
12	ctx-rh-parsopercularis_1	#3cb293
13	ctx-rh-parsopercularis_2	#d0254e
14	ctx-rh-rostralmiddlefrontal_1	#1327bc
15	ctx-rh-rostralmiddlefrontal_2	#03b18d
16	ctx-rh-rostralmiddlefrontal_3	#e0eb1a
17	ctx-rh-rostralmiddlefrontal_4	#fd5a6e
18	ctx-rh-rostralmiddlefrontal_5	#91fa45
19	ctx-rh-rostralmiddlefrontal_6	#15f64d
20	ctx-rh-superiorfrontal_1	#33f8ec
21	ctx-rh-superiorfrontal_2	#f56e7b
22	ctx-rh-superiorfrontal_3	#d4c08e
23	ctx-rh-superiorfrontal_4	#b40438
24	ctx-rh-superiorfrontal_5	#f0a10a
25	ctx-rh-superiorfrontal_6	#481f01
26	ctx-rh-superiorfrontal_7	#30ca63
27	ctx-rh-superiorfrontal_8	#5697c7
28	ctx-rh-caudalmiddlefrontal_1	#bb24af
29	ctx-rh-caudalmiddlefrontal_2	#b6fc0d
30	ctx-rh-caudalmiddlefrontal_3	#40201a
31	ctx-rh-precentral_1	#488201
32	ctx-rh-precentral_2	#54ef47
33	ctx-rh-precentral_3	#29b806
34	ctx-rh-precentral_4	#2cdead
35	ctx-rh-precentral_5	#83d796
36	ctx-rh-precentral_6	#76a3dd
37	ctx-rh-paracentral_1	#80b32f
38	ctx-rh-paracentral_2	#c00d03
39	ctx-rh-paracentral_3	#6aa6c7
40	ctx-rh-rostralanteriorcingulate_1	#8aba47
41	ctx-rh-caudalanteriorcingulate_1	#301edd
42	ctx-rh-posteriorcingulate_1	#5f6f9e
43	ctx-rh-posteriorcingulate_2	#8bed9b
44	ctx-rh-isthmuscingulate_1	#fca147
45	ctx-rh-postcentral_1	#32fadd
46	ctx-rh-postcentral_2	#1f14ce
47	ctx-rh-postcentral_3	#92db79
48	ctx-rh-postcentral_4	#a9fc74
49	ctx-rh-postcentral_5	#61d4a2
50	ctx-rh-supramarginal_1	#1f81dc
51	ctx-rh-supramarginal_2	#6f8a39
52	ctx-rh-supramarginal_3	#50effd
53	ctx-rh-supramarginal_4	#bad45a
