index	name	color
1	gm-cube-1	#287a87
2	gm-cube-2	#f9b4c3
3	gm-cube-3	#113480
4	gm-cube-4	#bab728
5	gm-cube-5	#ceddfe
6	gm-cube-6	#190fae
7	gm-cube-7	#f4b21d
8	gm-cube-8	#8eca41
9	gm-cube-9	#13ca12
10	gm-cube-10	#42809b
11	gm-cube-11	#70aa4e
12	gm-cube-12	#873eac
13	gm-cube-13	#d3f776
14	gm-cube-14	#7e3eed
15	gm-cube-15	#8bad95
16	gm-cube-16	#c9b2ae
17	gm-cube-17	#aa06d2
18	gm-cube-18	#159743
19	gm-cube-19	#08716f
20	gm-cube-20	#7b6c3a
21	gm-cube-21	#c693a8
22	gm-cube-22	#0b532f
23	gm-cube-23	#86c4c7
24	gm-cube-24	#a7a0a5
25	gm-cube-25	#cc475e
26	gm-cube-26	#b762a9
27	gm-cube-27	#672f96
28	gm-cube-28	#8582a3
29	gm-cube-29	#da3317
30	gm-cube-30	#006038
31	gm-cube-31	#14b0d1
32	gm-cube-32	#ed00ba
33	gm-cube-33	#520ac7
34	gm-cube-34	#d90150
35	gm-cube-35	#44a677
36	gm-cube-36	#d147cd
37	gm-cube-37	#11534c
38	gm-cube-38	#8d71ed
39	gm-cube-39	#9249d6
40	gm-cube-40	#980605
41	gm-cube-41	#1d7d09
42	gm-cube-42	#a58174
43	gm-cube-43	#041ccb
44	gm-cube-44	#22c6d5
45	gm-cube-45	#d3dfaa
46	gm-cube-46	#a6dbf4
47	gm-cube-47	#9af052
48	gm-cube-48	#4568d5
49	gm-cube-49	#9a9e8e
50	gm-cube-50	#73edf8
51	gm-cube-51	#0cafc0
52	gm-cube-52	#cc5ff4
53	gm-cube-53	#394ddb
54	gm-cube-54	#7f45e7
55	gm-cube-55	#3a6e36
56	gm-cube-56	#676fac
57	gm-cube-57	#765022
58	gm-cube-58	#14f140
59	gm-cube-59	#508577
60	gm-cube-60	#a5728e
61	gm-cube-61	#64bc72
62	gm-cube-62	#392590
63	gm-cube-63	#ad07cf
64	gm-cube-64	#4773d9
65	gm-cube-65	#350b75
66	gm-cube-66	#3bdd44
67	gm-cube-67	#bbe451
68	gm-cube-68	#d58d6b
69	gm-cube-69	#e8a551
70	gm-cube-70	#503e9e
71	gm-cube-71	#d8cf69
72	gm-cube-72	#777960
73	gm-cube-73	#06514f
74	gm-cube-74	#5797ba
75	gm-cube-75	#4af679
76	gm-cube-76	#ab12d6
77	gm-cube-77	#bee03a
78	gm-cube-78	#6af5b5
79	gm-cube-79	#853b5f
80	gm-cube-80	#cda8ed
81	gm-cube-81	#28db32
82	gm-cube-82	#8a638e
83	gm-cube-83	#131776
84	gm-cube-84	#343b7e
85	gm-cube-85	#74fcb0
86	gm-cube-86	#15c9ae
87	gm-cube-87	#20763b
88	gm-cube-88	#c67852
89	gm-cube-89	#51bf87
90	gm-cube-90	#7618a9
91	gm-cube-91	#b9c28a
92	gm-cube-92	#526b19
93	gm-cube-93	#96f828
94	gm-cube-94	#9458a4
95	gm-cube-95	#d7f83b
96	gm-cube-96	#a7e63f
97	gm-cube-97	#c92880
98	gm-cube-98	#7d4656
99	gm-cube-99	#bb4067
100	gm-cube-100	#1b761f
101	gm-cube-101	#7af9cf
102	gm-cube-102	#de263e
103	gm-cube-103	#7d313e
104	gm-cube-104	#d24caf
105	gm-cube-105	#87a792
106	gm-cube-106	#8d60e7
107	gm-cube-107	#444599
108	gm-cube-108	#2b2fc8
109	gm-cube-109	#8714d4
110	gm-cube-110	#b68dfc
111	gm-cube-111	#c73cb5
112	gm-cube-112	#3fcf52
113	gm-cube-113	#b97865
114	gm-cube-114	#156d47
115	gm-cube-115	#04cd4b
116	gm-cube-116	#4ea006
117	gm-cube-117	#ff5a5f
118	gm-cube-118	#19cb96
119	gm-cube-119	#b23444
120	gm-cube-120	#d69436
121	gm-cube-121	#198537
122	gm-cube-122	#6b3381
123	gm-cube-123	#416764
124	gm-cube-124	#e75367
125	gm-cube-125	#f4bdc5
126	gm-cube-126	#ae33de
127	gm-cube-127	#1a69d5
128	gm-cube-128	#d6f67f
129	gm-cube-129	#270603
130	gm-cube-130	#8a80eb
131	gm-cube-131	#bc2bf8
132	gm-cube-132	#abadcc
133	gm-cube-133	#d4a51f
134	gm-cube-134	#878ae8
135	gm-cube-135	#9d1d20
136	gm-cube-136	#e59ddd
137	gm-cube-137	#8dd640
138	gm-cube-138	#d82dac
139	gm-cube-139	#6677a4
140	gm-cube-140	#7bedc6
141	gm-cube-141	#f3d23e
142	gm-cube-142	#08e1aa
143	gm-cube-143	#437e06
144	gm-cube-144	#d48ca6
145	gm-cube-145	#725d9b
146	gm-cube-146	#5d39c1
147	gm-cube-147	#467c06
148	gm-cube-148	#71c0fd
149	gm-cube-149	#3367e3
150	gm-cube-150	#e28960
151	gm-cube-151	#7fd7f7
152	gm-cube-152	#413cc5
153	gm-cube-153	#b191c7
154	gm-cube-154	#ede880
155	gm-cube-155	#55554a
156	gm-cube-156	#88c0ef
157	gm-cube-157	#754054
158	gm-cube-158	#d528e7
159	gm-cube-159	#6b7e65
160	gm-cube-160	#d24588
161	gm-cube-161	#28a704
162	gm-cube-162	#8fed86
163	gm-cube-163	#f91a85
164	gm-cube-164	#1ef753
165	gm-cube-165	#035114
166	gm-cube-166	#ac4d31
167	gm-cube-167	#e54e96
168	gm-cube-168	#400f7b
169	gm-cube-169	#415343
170	gm-cube-170	#9b8c7a
171	gm-cube-171	#d2bb02
172	gm-cube-172	#c95f37
173	gm-cube-173	#3146ec
174	gm-cube-174	#6d27cd
175	gm-cube-175	#294ea5
176	gm-cube-176	#e3d439
177	gm-cube-177	#7a422b
178	gm-cube-178	#161aa2
179	gm-cube-179	#a3a67e
180	gm-cube-180	#aa9329
181	gm-cube-181	#91678d
182	gm-cube-182	#68c5bd
183	gm-cube-183	#a77876
184	gm-cube-184	#685ec4
185	gm-cube-185	#6ee2be
186	gm-cube-186	#301704
187	gm-cube-187	#a51e45
188	gm-cube-188	#85f306
189	gm-cube-189	#d23d55
190	gm-cube-190	#605bfb
191	gm-cube-191	#9d09d8
192	gm-cube-192	#efcd63
193	gm-cube-193	#2104a8
194	gm-cube-194	#172699
195	gm-cube-195	#2a783d
196	gm-cube-196	#11fca3
197	gm-cube-197	#4110e7
198	gm-cube-198	#fda15c
199	gm-cube-199	#f285bf
200	gm-cube-200	#01944f
201	gm-cube-201	#2b6233
202	gm-cube-202	#72a431
203	gm-cube-203	#9e9006
204	gm-cube-204	#6c7ac9
205	gm-cube-205	#ec82d4
206	gm-cube-206	#60203f
207	gm-cube-207	#3aa6c2
208	gm-cube-208	#49352e
209	gm-cube-209	#e61571
210	gm-cube-210	#27bb16
211	gm-cube-211	#8f18c6
212	gm-cube-212	#76f3fe
213	gm-cube-213	#8d6fd5
214	gm-cube-214	#a56123
215	gm-cube-215	#82efc4
216	gm-cube-216	#70f96c
217	gm-cube-217	#de117e
218	gm-cube-218	#5bf535
219	gm-cube-219	#7c7e17
220	gm-cube-220	#4bf70d
221	gm-cube-221	#677e2c
222	gm-cube-222	#7d8c36
223	gm-cube-223	#bbe684
224	gm-cube-224	#de87cb
225	gm-cube-225	#3a913c
226	gm-cube-226	#52ae3d
227	gm-cube-227	#f7c5fb
228	gm-cube-228	#c0ff83
229	gm-cube-229	#ea0011
230	gm-cube-230	#14cc4d
231	gm-cube-231	#55543a
232	gm-cube-232	#4bff92
233	gm-cube-233	#be82d4
234	gm-cube-234	#a6291d
235	gm-cube-235	#396355
236	gm-cube-236	#203bf8
237	gm-cube-237	#45cbc0
238	gm-cube-238	#613197
239	gm-cube-239	#9dd205
240	gm-cube-240	#a295f8
241	gm-cube-241	#b3c194
242	gm-cube-242	#e44088
243	gm-cube-243	#766d05
244	gm-cube-244	#b7bd1c
245	gm-cube-245	#140b46
246	gm-cube-246	#3be277
247	gm-cube-247	#33af35
248	gm-cube-248	#523ff1
249	gm-cube-249	#ea23e1
250	gm-cube-250	#619059
251	gm-cube-251	#9f96e6
252	gm-cube-252	#967bd0
253	gm-cube-253	#a5f0be
254	gm-cube-254	#6b15d2
255	gm-cube-255	#bd7c94
256	gm-cube-256	#774407
257	gm-cube-257	#46d527
258	gm-cube-258	#35e2bd
259	gm-cube-259	#3c8730
260	gm-cube-260	#d694b5
261	gm-cube-261	#12b747
262	gm-cube-262	#9b6bad
263	gm-cube-263	#dde71b
264	gm-cube-264	#60e5f2
265	gm-cube-265	#394073
266	gm-cube-266	#08fba9
267	gm-cube-267	#2b1794
268	gm-cube-268	#59f2e6
269	gm-cube-269	#ab20a3
270	gm-cube-270	#90bdba
271	gm-cube-271	#247f7d
272	gm-cube-272	#d8fe4a
273	gm-cube-273	#8c8ed5
274	gm-cube-274	#2c3e56
275	gm-cube-275	#2cf287
276	gm-cube-276	#e39b0d
277	gm-cube-277	#aca019
278	gm-cube-278	#16a00f
279	gm-cube-279	#01fe57
280	gm-cube-280	#91911e
281	gm-cube-281	#5de64a
282	gm-cube-282	#a5e25b
283	gm-cube-283	#ef70b1
284	gm-cube-284	#7874a3
285	gm-cube-285	#8dd031
286	gm-cube-286	#ddc91e
287	gm-cube-287	#e4e947
288	gm-cube-288	#1cd0bf
289	gm-cube-289	#ec3f5e
